Met Age[Gyr]   Teq[K] Mass[Me] f_env[%]    R_RCB[Re] R_20mbar[Re]  R_1nbar[Re] err_code
   1     0.01   278.00     1.00     0.10     1.320000     1.910000    3.260000        0
   1     0.01   278.00     1.00     0.20     1.480000     2.310000    4.680000        0
   1     0.01   278.00     1.00     0.50     1.780000     2.692397    6.280805        1
   1     0.01   278.00     1.00     1.00     2.210000     3.917464   19.772131        1
   1     0.01   278.00     1.00     2.00     2.540000     5.552888 1000.000000        1
   1     0.01   278.00     1.00     5.00     3.230000    10.850535 1000.000000        1
   1     0.01   278.00     1.00    10.00     4.550000    97.193646 1000.000000        1
   1     0.01   278.00     1.00    20.00     6.610000  1000.000000 1000.000000        1
   1     0.01   278.00     2.00     0.10     1.600000     1.890000    2.390000        0
   1     0.01   278.00     2.00     0.20     1.710000     2.080000    2.690000        0
   1     0.01   278.00     2.00     0.50     2.050000     2.640000    3.700000        0
   1     0.01   278.00     2.00     1.00     2.450000     3.390000    5.400000        0
   1     0.01   278.00     2.00     2.00     3.070000     4.850000   10.430000        0
   1     0.01   278.00     2.00     5.00     4.300000     7.861847   41.411538        1
   1     0.01   278.00     2.00    10.00     5.690000    13.740383 1000.000000        1
   1     0.01   278.00     2.00    20.00     7.550000    28.541950 1000.000000        1
   1     0.01   278.00     3.00     0.10     1.740000     1.940000    2.260000        0
   1     0.01   278.00     3.00     0.20     1.860000     2.110000    2.490000        0
   1     0.01   278.00     3.00     0.50     2.170000     2.530000    3.100000        0
   1     0.01   278.00     3.00     1.00     2.540000     3.060000    3.760000        0
   1     0.01   278.00     3.00     2.00     3.100000     3.970000    5.780000        0
   1     0.01   278.00     3.00     5.00     4.470000     6.750000   13.170000        0
   1     0.01   278.00     3.00    10.00     6.370000    12.880000  223.320000        0
   1     0.01   278.00     3.00    20.00     9.030000    21.872751 1000.000000        1
   1     0.01   278.00     4.00     0.10     1.870000     2.020000    2.270000        0
   1     0.01   278.00     4.00     0.20     1.970000     2.150000    2.440000        0
   1     0.01   278.00     4.00     0.50     2.270000     2.520000    2.930000        0
   1     0.01   278.00     4.00     1.00     2.610000     2.960000    3.530000        0
   1     0.01   278.00     4.00     2.00     3.120000     3.680000    4.600000        0
   1     0.01   278.00     4.00     5.00     4.370000     5.650000    8.100000        0
   1     0.01   278.00     4.00    10.00     6.210000     9.300000   18.030000        0
   1     0.01   278.00     4.00    20.00     9.400000    18.560000  264.570000        0
   1     0.01   278.00     5.00     0.10     1.960000     2.080000    2.290000        0
   1     0.01   278.00     5.00     0.20     2.060000     2.200000    2.440000        0
   1     0.01   278.00     5.00     0.50     2.350000     2.530000    2.860000        0
   1     0.01   278.00     5.00     1.00     2.670000     2.920000    3.360000        0
   1     0.01   278.00     5.00     2.00     3.150000     3.540000    4.200000        0
   1     0.01   278.00     5.00     5.00     4.300000     5.150000    6.610000        0
   1     0.01   278.00     5.00    10.00     5.980000     7.840000   11.550000        0
   1     0.01   278.00     5.00    20.00     8.990000    13.780000   28.830000        0
   1     0.01   278.00     6.00     0.10     1.990000     2.100000    2.270000        0
   1     0.01   278.00     6.00     0.20     2.140000     2.250000    2.460000        0
   1     0.01   278.00     6.00     0.50     2.410000     2.560000    2.830000        0
   1     0.01   278.00     6.00     1.00     2.720000     2.920000    3.270000        0
   1     0.01   278.00     6.00     2.00     3.180000     3.480000    3.990000        0
   1     0.01   278.00     6.00     5.00     4.260000     4.880000    5.920000        0
   1     0.01   278.00     6.00    10.00     5.790000     7.060000    9.300000        0
   1     0.01   278.00     6.00    20.00     8.560000    11.550000   17.980000        0
   1     0.01   278.00     8.00     0.10     2.120000     2.200000    2.340000        0
   1     0.01   278.00     8.00     0.20     2.270000     2.340000    2.510000        0
   1     0.01   278.00     8.00     0.50     2.530000     2.620000    2.830000        0
   1     0.01   278.00     8.00     1.00     2.810000     2.940000    3.210000        0
   1     0.01   278.00     8.00     2.00     3.250000     3.430000    3.800000        0
   1     0.01   278.00     8.00     5.00     4.220000     4.600000    5.260000        0
   1     0.01   278.00     8.00    10.00     5.550000     6.280000    7.500000        0
   1     0.01   278.00     8.00    20.00     7.640000     9.430000   12.070000        0
   1     0.01   278.00    10.00     0.10     2.270000     2.320000    2.450000        0
   1     0.01   278.00    10.00     0.20     2.370000     2.420000    2.560000        0
   1     0.01   278.00    10.00     0.50     2.610000     2.680000    2.860000        0
   1     0.01   278.00    10.00     1.00     2.890000     2.980000    3.210000        0
   1     0.01   278.00    10.00     2.00     3.300000     3.440000    3.730000        0
   1     0.01   278.00    10.00     5.00     4.210000     4.470000    4.960000        0
   1     0.01   278.00    10.00    10.00     5.410000     5.900000    6.740000        0
   1     0.01   278.00    10.00    20.00     7.280000     8.490000   10.110000        0
   1     0.01   278.00    13.00     0.10     2.360000     2.400000    2.500000        0
   1     0.01   278.00    13.00     0.20     2.480000     2.530000    2.650000        0
   1     0.01   278.00    13.00     0.50     2.720000     2.770000    2.920000        0
   1     0.01   278.00    13.00     1.00     2.980000     3.050000    3.240000        0
   1     0.01   278.00    13.00     2.00     3.370000     3.470000    3.710000        0
   1     0.01   278.00    13.00     5.00     4.220000     4.390000    4.770000        0
   1     0.01   278.00    13.00    10.00     5.330000     5.640000    6.240000        0
   1     0.01   278.00    13.00    20.00     6.990000     7.810000    8.850000        0
   1     0.01   278.00    16.00     0.10     2.460000     2.490000    2.590000        0
   1     0.01   278.00    16.00     0.20     2.580000     2.620000    2.720000        0
   1     0.01   278.00    16.00     0.50     2.810000     2.850000    2.990000        0
   1     0.01   278.00    16.00     1.00     3.060000     3.120000    3.280000        0
   1     0.01   278.00    16.00     2.00     3.440000     3.510000    3.720000        0
   1     0.01   278.00    16.00     5.00     4.250000     4.380000    4.700000        0
   1     0.01   278.00    16.00    10.00     5.320000     5.540000    6.020000        0
   1     0.01   278.00    16.00    20.00     6.850000     7.480000    8.260000        0
   1     0.01   278.00    20.00     0.10     2.570000     2.600000    2.690000        0
   1     0.01   278.00    20.00     0.20     2.690000     2.720000    2.820000        0
   1     0.01   278.00    20.00     0.50     2.910000     2.950000    3.070000        0
   1     0.01   278.00    20.00     1.00     3.160000     3.210000    3.350000        0
   1     0.01   278.00    20.00     2.00     3.520000     3.580000    3.760000        0
   1     0.01   278.00    20.00     5.00     4.300000     4.410000    4.680000        0
   1     0.01   278.00    20.00    10.00     5.190000     5.480000    5.880000        0
   1     0.01   278.00    20.00    20.00     6.770000     7.270000    7.890000        0
   1     0.01   494.36     1.00     0.10     1.290000     2.326508   20.702944        1
   1     0.01   494.36     1.00     0.20     1.410000     2.749141 1000.000000        1
   1     0.01   494.36     1.00     0.50     1.690000     4.043133 1000.000000        1
   1     0.01   494.36     1.00     1.00     1.990000     6.111244 1000.000000        1
   1     0.01   494.36     1.00     2.00     2.370000    13.043539 1000.000000        1
   1     0.01   494.36     1.00     5.00     3.170000  1000.000000 1000.000000        1
   1     0.01   494.36     1.00    10.00     4.360000  1000.000000 1000.000000        1
   1     0.01   494.36     1.00    20.00     6.290000  1000.000000 1000.000000        1
   1     0.01   494.36     2.00     0.10     1.530000     2.100000    3.520000        0
   1     0.01   494.36     2.00     0.20     1.660000     2.370000    4.350000        0
   1     0.01   494.36     2.00     0.50     1.980000     3.110000    7.820000        0
   1     0.01   494.36     2.00     1.00     2.360000     3.892865   14.905841        1
   1     0.01   494.36     2.00     2.00     2.930000     5.821669 1000.000000        1
   1     0.01   494.36     2.00     5.00     4.060000    12.580597 1000.000000        1
   1     0.01   494.36     2.00    10.00     5.350000    33.865404 1000.000000        1
   1     0.01   494.36     2.00    20.00     7.260000  1000.000000 1000.000000        1
   1     0.01   494.36     3.00     0.10     1.670000     2.060000    2.790000        0
   1     0.01   494.36     3.00     0.20     1.820000     2.290000    3.240000        0
   1     0.01   494.36     3.00     0.50     2.120000     2.790000    4.340000        0
   1     0.01   494.36     3.00     1.00     2.470000     3.450000    6.180000        0
   1     0.01   494.36     3.00     2.00     3.010000     4.650000   11.500000        0
   1     0.01   494.36     3.00     5.00     4.280000     8.048419 1000.000000        1
   1     0.01   494.36     3.00    10.00     5.950000    15.641358 1000.000000        1
   1     0.01   494.36     3.00    20.00     8.470000    47.320092 1000.000000        1
   1     0.01   494.36     4.00     0.10     1.760000     2.070000    2.580000        0
   1     0.01   494.36     4.00     0.20     1.930000     2.290000    2.930000        0
   1     0.01   494.36     4.00     0.50     2.220000     2.700000    3.640000        0
   1     0.01   494.36     4.00     1.00     2.540000     3.210000    4.630000        0
   1     0.01   494.36     4.00     2.00     3.050000     4.080000    6.660000        0
   1     0.01   494.36     4.00     5.00     4.240000     6.630000   17.700000        0
   1     0.01   494.36     4.00    10.00     5.950000    11.042451  732.201296        1
   1     0.01   494.36     4.00    20.00     8.850000    24.566014 1000.000000        1
   1     0.01   494.36     5.00     0.10     1.910000     2.170000    2.600000        0
   1     0.01   494.36     5.00     0.20     2.020000     2.310000    2.810000        0
   1     0.01   494.36     5.00     0.50     2.290000     2.680000    3.360000        0
   1     0.01   494.36     5.00     1.00     2.600000     3.110000    4.080000        0
   1     0.01   494.36     5.00     2.00     3.070000     3.820000    5.380000        0
   1     0.01   494.36     5.00     5.00     4.200000     5.750000   10.060000        0
   1     0.01   494.36     5.00    10.00     5.800000     9.210000   27.800000        0
   1     0.01   494.36     5.00    20.00     8.660000    17.249778 1000.000000        1
   1     0.01   494.36     6.00     0.10     1.950000     2.180000    2.530000        0
   1     0.01   494.36     6.00     0.20     2.090000     2.340000    2.750000        0
   1     0.01   494.36     6.00     0.50     2.360000     2.680000    3.220000        0
   1     0.01   494.36     6.00     1.00     2.650000     3.070000    3.810000        0
   1     0.01   494.36     6.00     2.00     3.110000     3.700000    4.820000        0
   1     0.01   494.36     6.00     5.00     4.170000     5.310000    7.890000        0
   1     0.01   494.36     6.00    10.00     5.660000     7.950000   15.100000        0
   1     0.01   494.36     6.00    20.00     8.310000    13.740000   56.310000        0
   1     0.01   494.36     8.00     0.10     2.080000     2.260000    2.530000        0
   1     0.01   494.36     8.00     0.20     2.210000     2.410000    2.730000        0
   1     0.01   494.36     8.00     0.50     2.460000     2.710000    3.110000        0
   1     0.01   494.36     8.00     1.00     2.740000     3.050000    3.570000        0
   1     0.01   494.36     8.00     2.00     3.170000     3.580000    4.310000        0
   1     0.01   494.36     8.00     5.00     4.130000     4.860000    6.260000        0
   1     0.01   494.36     8.00    10.00     5.440000     6.760000    9.630000        0
   1     0.01   494.36     8.00    20.00     7.600000    10.440000   17.890000        0
   1     0.01   494.36    10.00     0.10     2.190000     2.340000    2.570000        0
   1     0.01   494.36    10.00     0.20     2.310000     2.480000    2.740000        0
   1     0.01   494.36    10.00     0.50     2.550000     2.750000    3.070000        0
   1     0.01   494.36    10.00     1.00     2.820000     3.060000    3.470000        0
   1     0.01   494.36    10.00     2.00     3.230000     3.550000    4.090000        0
   1     0.01   494.36    10.00     5.00     4.120000     4.650000    5.610000        0
   1     0.01   494.36    10.00    10.00     5.260000     6.230000    7.970000        0
   1     0.01   494.36    10.00    20.00     7.270000     9.120000   12.800000        0
   1     0.01   494.36    13.00     0.10     2.320000     2.440000    2.630000        0
   1     0.01   494.36    13.00     0.20     2.440000     2.570000    2.780000        0
   1     0.01   494.36    13.00     0.50     2.670000     2.820000    3.080000        0
   1     0.01   494.36    13.00     1.00     2.920000     3.110000    3.420000        0
   1     0.01   494.36    13.00     2.00     3.310000     3.550000    3.960000        0
   1     0.01   494.36    13.00     5.00     4.140000     4.520000    5.190000        0
   1     0.01   494.36    13.00    10.00     5.190000     5.860000    6.960000        0
   1     0.01   494.36    13.00    20.00     7.000000     8.190000   10.210000        0
   1     0.01   494.36    16.00     0.10     2.420000     2.530000    2.690000        0
   1     0.01   494.36    16.00     0.20     2.540000     2.650000    2.830000        0
   1     0.01   494.36    16.00     0.50     2.760000     2.890000    3.110000        0
   1     0.01   494.36    16.00     1.00     3.010000     3.160000    3.430000        0
   1     0.01   494.36    16.00     2.00     3.380000     3.570000    3.910000        0
   1     0.01   494.36    16.00     5.00     4.170000     4.480000    5.000000        0
   1     0.01   494.36    16.00    10.00     5.180000     5.700000    6.520000        0
   1     0.01   494.36    16.00    20.00     6.850000     7.740000    9.130000        0
   1     0.01   494.36    20.00     0.10     2.540000     2.630000    2.770000        0
   1     0.01   494.36    20.00     0.20     2.660000     2.750000    2.900000        0
   1     0.01   494.36    20.00     0.50     2.870000     2.980000    3.160000        0
